No.,WD (deg.),CB,x (m),y (m),z (m),Vs (m/s),,,,,,
63,0,0D,-0.3,-0.25,0.02,2.75,,,,,,
54,0,0D,-0.3,-0.2,0.02,3.08,,,,,,
45,0,0D,-0.3,-0.15,0.02,2.67,,,,,,
31,0,0D,-0.3,0.15,0.02,2.67,,,,,,
32,0,0D,-0.3,0.2,0.02,2.91,,,,,,
33,0,0D,-0.3,0.25,0.02,2.6,,,,,,
66,0,0D,-0.25,-0.3,0.02,1.08,,,,,,
62,0,0D,-0.25,-0.25,0.02,2.56,,,,,,
53,0,0D,-0.25,-0.2,0.02,2.74,,,,,,
44,0,0D,-0.25,-0.15,0.02,2.55,,,,,,
22,0,0D,-0.25,-0.1,0.02,1.37,,,,,,
23,0,0D,-0.25,-0.05,0.02,0.51,,,,,,
24,0,0D,-0.25,0,0.02,0.73,,,,,,
25,0,0D,-0.25,0.05,0.02,0.73,,,,,,
26,0,0D,-0.25,0.1,0.02,1.63,,,,,,
27,0,0D,-0.25,0.15,0.02,2.43,,,,,,
28,0,0D,-0.25,0.2,0.02,2.58,,,,,,
29,0,0D,-0.25,0.25,0.02,2.4,,,,,,
30,0,0D,-0.25,0.3,0.02,1.23,,,,,,
65,0,0D,-0.2,-0.3,0.02,1.22,,,,,,
61,0,0D,-0.2,-0.25,0.02,2.23,,,,,,
52,0,0D,-0.2,-0.2,0.02,2.44,,,,,,
43,0,0D,-0.2,-0.15,0.02,2.39,,,,,,
13,0,0D,-0.2,-0.1,0.02,1.62,,,,,,
14,0,0D,-0.2,-0.05,0.02,0.92,,,,,,
15,0,0D,-0.2,0,0.02,1.11,,,,,,
16,0,0D,-0.2,0.05,0.02,1.19,,,,,,
17,0,0D,-0.2,0.1,0.02,1.68,,,,,,
18,0,0D,-0.2,0.15,0.02,2.25,,,,,,
19,0,0D,-0.2,0.2,0.02,2.33,,,,,,
20,0,0D,-0.2,0.25,0.02,2.11,,,,,,
21,0,0D,-0.2,0.3,0.02,1.25,,,,,,
64,0,0D,-0.15,-0.3,0.02,1.35,,,,,,
60,0,0D,-0.15,-0.25,0.02,1.97,,,,,,
51,0,0D,-0.15,-0.2,0.02,2.23,,,,,,
42,0,0D,-0.15,-0.15,0.02,2.14,,,,,,
4,0,0D,-0.15,-0.1,0.02,1.58,,,,,,
5,0,0D,-0.15,-0.05,0.02,0.94,,,,,,
6,0,0D,-0.15,0,0.02,1.08,,,,,,
7,0,0D,-0.15,0.05,0.02,0.96,,,,,,
8,0,0D,-0.15,0.1,0.02,1.53,,,,,,
9,0,0D,-0.15,0.15,0.02,2.08,,,,,,
10,0,0D,-0.15,0.2,0.02,2.14,,,,,,
11,0,0D,-0.15,0.25,0.02,1.88,,,,,,
12,0,0D,-0.15,0.3,0.02,1.33,,,,,,
59,0,0D,-0.1,-0.25,0.02,1.79,,,,,,
50,0,0D,-0.1,-0.2,0.02,2.02,,,,,,
41,0,0D,-0.1,-0.15,0.02,1.85,,,,,,
103,0,0D,-0.1,0.15,0.02,1.94,,,,,,
112,0,0D,-0.1,0.2,0.02,2.01,,,,,,
121,0,0D,-0.1,0.25,0.02,1.68,,,,,,
58,0,0D,-0.05,-0.25,0.02,1.4,,,,,,
49,0,0D,-0.05,-0.2,0.02,1.85,,,,,,
40,0,0D,-0.05,-0.15,0.02,1.69,,,,,,
104,0,0D,-0.05,0.15,0.02,1.49,,,,,,
113,0,0D,-0.05,0.2,0.02,1.6,,,,,,
122,0,0D,-0.05,0.25,0.02,1.3,,,,,,
57,0,0D,0,-0.25,0.02,1.24,,,,,,
48,0,0D,0,-0.2,0.02,1.52,,,,,,
39,0,0D,0,-0.15,0.02,1.52,,,,,,
105,0,0D,0,0.15,0.02,1.47,,,,,,
114,0,0D,0,0.2,0.02,1.44,,,,,,
123,0,0D,0,0.25,0.02,1.2,,,,,,
56,0,0D,0.05,-0.25,0.02,1.2,,,,,,
47,0,0D,0.05,-0.2,0.02,1.36,,,,,,
38,0,0D,0.05,-0.15,0.02,1.37,,,,,,
106,0,0D,0.05,0.15,0.02,1.29,,,,,,
115,0,0D,0.05,0.2,0.02,1.52,,,,,,
124,0,0D,0.05,0.25,0.02,1.29,,,,,,
69,0,0D,0.1,-0.25,0.02,1.39,,,,,,
68,0,0D,0.1,-0.2,0.02,1.48,,,,,,
67,0,0D,0.1,-0.15,0.02,1.38,,,,,,
107,0,0D,0.1,0.15,0.02,1.15,,,,,,
116,0,0D,0.1,0.2,0.02,1.31,,,,,,
125,0,0D,0.1,0.25,0.02,1.39,,,,,,
78,0,0D,0.15,-0.3,0.02,1.23,,,,,,
77,0,0D,0.15,-0.25,0.02,1.53,,,,,,
76,0,0D,0.15,-0.2,0.02,1.54,,,,,,
75,0,0D,0.15,-0.15,0.02,1.35,,,,,,
74,0,0D,0.15,-0.1,0.02,0.98,,,,,,
73,0,0D,0.15,-0.05,0.02,0.85,,,,,,
72,0,0D,0.15,0,0.02,0.83,,,,,,
71,0,0D,0.15,0.05,0.02,0.75,,,,,,
70,0,0D,0.15,0.1,0.02,1.08,,,,,,
108,0,0D,0.15,0.15,0.02,1.27,,,,,,
117,0,0D,0.15,0.2,0.02,1.48,,,,,,
126,0,0D,0.15,0.25,0.02,1.43,,,,,,
130,0,0D,0.15,0.3,0.02,1.16,,,,,,
87,0,0D,0.2,-0.3,0.02,1.3,,,,,,
86,0,0D,0.2,-0.25,0.02,1.53,,,,,,
85,0,0D,0.2,-0.2,0.02,1.51,,,,,,
84,0,0D,0.2,-0.15,0.02,1.55,,,,,,
83,0,0D,0.2,-0.1,0.02,1.18,,,,,,
82,0,0D,0.2,-0.05,0.02,1.29,,,,,,
81,0,0D,0.2,0,0.02,0.95,,,,,,
80,0,0D,0.2,0.05,0.02,0.93,,,,,,
79,0,0D,0.2,0.1,0.02,1.24,,,,,,
109,0,0D,0.2,0.15,0.02,1.46,,,,,,
118,0,0D,0.2,0.2,0.02,1.53,,,,,,
127,0,0D,0.2,0.25,0.02,1.67,,,,,,
131,0,0D,0.2,0.3,0.02,1.25,,,,,,
96,0,0D,0.25,-0.3,0.02,1.17,,,,,,
95,0,0D,0.25,-0.25,0.02,1.6,,,,,,
94,0,0D,0.25,-0.2,0.02,1.72,,,,,,
93,0,0D,0.25,-0.15,0.02,1.71,,,,,,
92,0,0D,0.25,-0.1,0.02,1.65,,,,,,
91,0,0D,0.25,-0.05,0.02,1.18,,,,,,
90,0,0D,0.25,0,0.02,0.86,,,,,,
89,0,0D,0.25,0.05,0.02,1.05,,,,,,
88,0,0D,0.25,0.1,0.02,1.53,,,,,,
110,0,0D,0.25,0.15,0.02,1.75,,,,,,
119,0,0D,0.25,0.2,0.02,1.69,,,,,,
128,0,0D,0.25,0.25,0.02,1.63,,,,,,
132,0,0D,0.25,0.3,0.02,1.22,,,,,,
99,0,0D,0.3,-0.25,0.02,1.74,,,,,,
98,0,0D,0.3,-0.2,0.02,1.87,,,,,,
97,0,0D,0.3,-0.15,0.02,2.12,,,,,,
111,0,0D,0.3,0.15,0.02,2.29,,,,,,
120,0,0D,0.3,0.2,0.02,1.99,,,,,,
129,0,0D,0.3,0.25,0.02,1.83,,,,,,
63,0,1D,-0.3,-0.25,0.02,2.91,3.58,,,,,
54,0,1D,-0.3,-0.2,0.02,3,3.98,,,,,
45,0,1D,-0.3,-0.15,0.02,2.35,2.73,,,,,
31,0,1D,-0.3,0.15,0.02,2.49,2.81,,,,,
32,0,1D,-0.3,0.2,0.02,2.86,4,,,,,
33,0,1D,-0.3,0.25,0.02,2.68,3.43,,,,,
66,0,1D,-0.25,-0.3,0.02,1.13,0.86,,,,,
62,0,1D,-0.25,-0.25,0.02,2.77,3.45,,,,,
53,0,1D,-0.25,-0.2,0.02,2.69,3.86,,,,,
44,0,1D,-0.25,-0.15,0.02,2.17,2.42,,,,,
22,0,1D,-0.25,-0.1,0.02,1.12,0.75,,,,,
23,0,1D,-0.25,-0.05,0.02,0.91,0.83,,,,,
24,0,1D,-0.25,0,0.02,0.93,0.86,,,,,
25,0,1D,-0.25,0.05,0.02,0.96,0.83,,,,,
26,0,1D,-0.25,0.1,0.02,1.27,0.77,,,,,
27,0,1D,-0.25,0.15,0.02,2.16,2.52,,,,,
28,0,1D,-0.25,0.2,0.02,2.45,3.89,,,,,
29,0,1D,-0.25,0.25,0.02,2.45,3.24,,,,,
30,0,1D,-0.25,0.3,0.02,1.35,0.82,,,,,
65,0,1D,-0.2,-0.3,0.02,1.39,0.9,,,,,
61,0,1D,-0.2,-0.25,0.02,2.49,3.33,,,,,
52,0,1D,-0.2,-0.2,0.02,2.37,3.74,,,,,
43,0,1D,-0.2,-0.15,0.02,1.92,2.06,,,,,
13,0,1D,-0.2,-0.1,0.02,1.25,0.81,,,,,
14,0,1D,-0.2,-0.05,0.02,1.2,1.04,,,,,
15,0,1D,-0.2,0,0.02,1.29,1.11,,,,,
16,0,1D,-0.2,0.05,0.02,1.29,1.02,,,,,
17,0,1D,-0.2,0.1,0.02,1.23,0.82,,,,,
18,0,1D,-0.2,0.15,0.02,1.97,2.21,,,,,
19,0,1D,-0.2,0.2,0.02,2.24,3.78,,,,,
20,0,1D,-0.2,0.25,0.02,2.23,3.08,,,,,
21,0,1D,-0.2,0.3,0.02,1.45,0.86,,,,,
64,0,1D,-0.15,-0.3,0.02,1.54,0.9,,,,,
60,0,1D,-0.15,-0.25,0.02,2.21,3.21,,,,,
51,0,1D,-0.15,-0.2,0.02,2.18,3.58,,,,,
42,0,1D,-0.15,-0.15,0.02,1.69,1.74,,,,,
4,0,1D,-0.15,-0.1,0.02,1.36,0.78,,,,,
5,0,1D,-0.15,-0.05,0.02,1.12,0.99,,,,,
6,0,1D,-0.15,0,0.02,1.35,1.1,,,,,
7,0,1D,-0.15,0.05,0.02,1.15,0.97,,,,,
8,0,1D,-0.15,0.1,0.02,1.18,0.78,,,,,
9,0,1D,-0.15,0.15,0.02,1.74,1.91,,,,,
10,0,1D,-0.15,0.2,0.02,2.08,3.64,,,,,
11,0,1D,-0.15,0.25,0.02,2.05,2.94,,,,,
12,0,1D,-0.15,0.3,0.02,1.49,0.82,,,,,
59,0,1D,-0.1,-0.25,0.02,2.03,3.05,,,,,
50,0,1D,-0.1,-0.2,0.02,2.02,3.37,,,,,
41,0,1D,-0.1,-0.15,0.02,1.62,1.48,,,,,
103,0,1D,-0.1,0.15,0.02,1.75,1.66,,,,,
112,0,1D,-0.1,0.2,0.02,1.99,3.45,,,,,
121,0,1D,-0.1,0.25,0.02,1.94,2.76,,,,,
58,0,1D,-0.05,-0.25,0.02,1.81,2.9,,,,,
49,0,1D,-0.05,-0.2,0.02,1.94,3.12,,,,,
40,0,1D,-0.05,-0.15,0.02,1.44,1.33,,,,,
104,0,1D,-0.05,0.15,0.02,1.33,1.49,,,,,
113,0,1D,-0.05,0.2,0.02,1.66,3.23,,,,,
122,0,1D,-0.05,0.25,0.02,1.73,2.6,,,,,
57,0,1D,0,-0.25,0.02,1.61,2.81,,,,,
48,0,1D,0,-0.2,0.02,1.61,2.96,,,,,
39,0,1D,0,-0.15,0.02,1.36,1.29,,,,,
105,0,1D,0,0.15,0.02,1.32,1.42,,,,,
114,0,1D,0,0.2,0.02,1.51,3.03,,,,,
123,0,1D,0,0.25,0.02,1.55,2.47,,,,,
56,0,1D,0.05,-0.25,0.02,1.5,2.67,,,,,
47,0,1D,0.05,-0.2,0.02,1.39,2.77,,,,,
38,0,1D,0.05,-0.15,0.02,1.25,1.25,,,,,
106,0,1D,0.05,0.15,0.02,1.24,1.39,,,,,
115,0,1D,0.05,0.2,0.02,1.58,2.91,,,,,
124,0,1D,0.05,0.25,0.02,1.5,2.37,,,,,
69,0,1D,0.1,-0.25,0.02,1.66,2.53,,,,,
68,0,1D,0.1,-0.2,0.02,1.49,2.63,,,,,
67,0,1D,0.1,-0.15,0.02,1.36,1.23,,,,,
107,0,1D,0.1,0.15,0.02,1.24,1.38,,,,,
116,0,1D,0.1,0.2,0.02,1.44,2.78,,,,,
125,0,1D,0.1,0.25,0.02,1.53,2.22,,,,,
78,0,1D,0.15,-0.3,0.02,1.17,0.85,,,,,
77,0,1D,0.15,-0.25,0.02,1.69,2.38,,,,,
76,0,1D,0.15,-0.2,0.02,1.55,2.56,,,,,
75,0,1D,0.15,-0.15,0.02,1.42,1.24,,,,,
74,0,1D,0.15,-0.1,0.02,0.88,0.69,,,,,
73,0,1D,0.15,-0.05,0.02,0.85,0.79,,,,,
72,0,1D,0.15,0,0.02,0.93,0.81,,,,,
71,0,1D,0.15,0.05,0.02,0.66,0.77,,,,,
70,0,1D,0.15,0.1,0.02,1.09,0.68,,,,,
108,0,1D,0.15,0.15,0.02,1.42,1.41,,,,,
117,0,1D,0.15,0.2,0.02,1.59,2.7,,,,,
126,0,1D,0.15,0.25,0.02,1.52,2.06,,,,,
130,0,1D,0.15,0.3,0.02,1.18,0.79,,,,,
87,0,1D,0.2,-0.3,0.02,1.25,0.88,,,,,
86,0,1D,0.2,-0.25,0.02,1.62,2.2,,,,,
85,0,1D,0.2,-0.2,0.02,1.51,2.53,,,,,
84,0,1D,0.2,-0.15,0.02,1.56,1.21,,,,,
83,0,1D,0.2,-0.1,0.02,1.11,0.79,,,,,
82,0,1D,0.2,-0.05,0.02,1.31,1.01,,,,,
81,0,1D,0.2,0,0.02,1.12,1.09,,,,,
80,0,1D,0.2,0.05,0.02,0.99,0.96,,,,,
79,0,1D,0.2,0.1,0.02,1.19,0.75,,,,,
109,0,1D,0.2,0.15,0.02,1.56,1.42,,,,,
118,0,1D,0.2,0.2,0.02,1.65,2.64,,,,,
127,0,1D,0.2,0.25,0.02,1.69,1.86,,,,,
131,0,1D,0.2,0.3,0.02,1.28,0.86,,,,,
96,0,1D,0.25,-0.3,0.02,1.24,0.89,,,,,
95,0,1D,0.25,-0.25,0.02,1.62,2,,,,,
94,0,1D,0.25,-0.2,0.02,1.68,2.52,,,,,
93,0,1D,0.25,-0.15,0.02,1.48,1.21,,,,,
92,0,1D,0.25,-0.1,0.02,1.29,0.85,,,,,
91,0,1D,0.25,-0.05,0.02,1.11,1,,,,,
90,0,1D,0.25,0,0.02,1.03,1.09,,,,,
89,0,1D,0.25,0.05,0.02,1.02,0.93,,,,,
88,0,1D,0.25,0.1,0.02,1.11,0.76,,,,,
110,0,1D,0.25,0.15,0.02,1.62,1.44,,,,,
119,0,1D,0.25,0.2,0.02,1.65,2.58,,,,,
128,0,1D,0.25,0.25,0.02,1.69,1.68,,,,,
132,0,1D,0.25,0.3,0.02,1.4,0.93,,,,,
99,0,1D,0.3,-0.25,0.02,1.57,1.89,,,,,
98,0,1D,0.3,-0.2,0.02,1.63,2.49,,,,,
97,0,1D,0.3,-0.15,0.02,1.5,1.27,,,,,
111,0,1D,0.3,0.15,0.02,1.62,1.53,,,,,
120,0,1D,0.3,0.2,0.02,1.74,2.49,,,,,
129,0,1D,0.3,0.25,0.02,1.69,1.61,,,,,
63,0,2D,-0.3,-0.25,0.02,2.64,,,,,,
54,0,2D,-0.3,-0.2,0.02,2.32,,,,,,
45,0,2D,-0.3,-0.15,0.02,1.75,,,,,,
31,0,2D,-0.3,0.15,0.02,1.74,,,,,,
32,0,2D,-0.3,0.2,0.02,2.2,,,,,,
33,0,2D,-0.3,0.25,0.02,2.53,,,,,,
66,0,2D,-0.25,-0.3,0.02,2.37,,,,,,
62,0,2D,-0.25,-0.25,0.02,2.58,,,,,,
53,0,2D,-0.25,-0.2,0.02,2.15,,,,,,
44,0,2D,-0.25,-0.15,0.02,1.89,,,,,,
22,0,2D,-0.25,-0.1,0.02,2.17,,,,,,
23,0,2D,-0.25,-0.05,0.02,2.26,,,,,,
24,0,2D,-0.25,0,0.02,2.02,,,,,,
25,0,2D,-0.25,0.05,0.02,2.27,,,,,,
26,0,2D,-0.25,0.1,0.02,2.06,,,,,,
27,0,2D,-0.25,0.15,0.02,1.79,,,,,,
28,0,2D,-0.25,0.2,0.02,2.11,,,,,,
29,0,2D,-0.25,0.25,0.02,2.52,,,,,,
30,0,2D,-0.25,0.3,0.02,2.33,,,,,,
65,0,2D,-0.2,-0.3,0.02,2.31,,,,,,
61,0,2D,-0.2,-0.25,0.02,2.35,,,,,,
52,0,2D,-0.2,-0.2,0.02,2.14,,,,,,
43,0,2D,-0.2,-0.15,0.02,2.42,,,,,,
13,0,2D,-0.2,-0.1,0.02,2.77,,,,,,
14,0,2D,-0.2,-0.05,0.02,2.68,,,,,,
15,0,2D,-0.2,0,0.02,2.38,,,,,,
16,0,2D,-0.2,0.05,0.02,2.49,,,,,,
17,0,2D,-0.2,0.1,0.02,2.65,,,,,,
18,0,2D,-0.2,0.15,0.02,2.17,,,,,,
19,0,2D,-0.2,0.2,0.02,2.05,,,,,,
20,0,2D,-0.2,0.25,0.02,2.38,,,,,,
21,0,2D,-0.2,0.3,0.02,2.44,,,,,,
64,0,2D,-0.15,-0.3,0.02,1.82,,,,,,
60,0,2D,-0.15,-0.25,0.02,1.88,,,,,,
51,0,2D,-0.15,-0.2,0.02,1.84,,,,,,
42,0,2D,-0.15,-0.15,0.02,2.34,,,,,,
4,0,2D,-0.15,-0.1,0.02,2.82,,,,,,
5,0,2D,-0.15,-0.05,0.02,2.3,,,,,,
6,0,2D,-0.15,0,0.02,2.04,,,,,,
7,0,2D,-0.15,0.05,0.02,2.32,,,,,,
8,0,2D,-0.15,0.1,0.02,2.74,,,,,,
9,0,2D,-0.15,0.15,0.02,2.29,,,,,,
10,0,2D,-0.15,0.2,0.02,2,,,,,,
11,0,2D,-0.15,0.25,0.02,1.94,,,,,,
12,0,2D,-0.15,0.3,0.02,1.99,,,,,,
59,0,2D,-0.1,-0.25,0.02,1.61,,,,,,
50,0,2D,-0.1,-0.2,0.02,1.69,,,,,,
41,0,2D,-0.1,-0.15,0.02,2.12,,,,,,
103,0,2D,-0.1,0.15,0.02,2.23,,,,,,
112,0,2D,-0.1,0.2,0.02,1.58,,,,,,
121,0,2D,-0.1,0.25,0.02,1.48,,,,,,
58,0,2D,-0.05,-0.25,0.02,1.57,,,,,,
49,0,2D,-0.05,-0.2,0.02,1.67,,,,,,
40,0,2D,-0.05,-0.15,0.02,1.7,,,,,,
104,0,2D,-0.05,0.15,0.02,1.57,,,,,,
113,0,2D,-0.05,0.2,0.02,1.39,,,,,,
122,0,2D,-0.05,0.25,0.02,1.45,,,,,,
57,0,2D,0,-0.25,0.02,1.32,,,,,,
48,0,2D,0,-0.2,0.02,1.38,,,,,,
39,0,2D,0,-0.15,0.02,1.56,,,,,,
105,0,2D,0,0.15,0.02,1.59,,,,,,
114,0,2D,0,0.2,0.02,1.33,,,,,,
123,0,2D,0,0.25,0.02,1.29,,,,,,
56,0,2D,0.05,-0.25,0.02,1.22,,,,,,
47,0,2D,0.05,-0.2,0.02,1.38,,,,,,
38,0,2D,0.05,-0.15,0.02,1.62,,,,,,
106,0,2D,0.05,0.15,0.02,1.58,,,,,,
115,0,2D,0.05,0.2,0.02,1.49,,,,,,
124,0,2D,0.05,0.25,0.02,1.22,,,,,,
69,0,2D,0.1,-0.25,0.02,1.2,,,,,,
68,0,2D,0.1,-0.2,0.02,1.39,,,,,,
67,0,2D,0.1,-0.15,0.02,1.68,,,,,,
107,0,2D,0.1,0.15,0.02,1.55,,,,,,
116,0,2D,0.1,0.2,0.02,1.31,,,,,,
125,0,2D,0.1,0.25,0.02,1.24,,,,,,
78,0,2D,0.15,-0.3,0.02,1.07,,,,,,
77,0,2D,0.15,-0.25,0.02,1.26,,,,,,
76,0,2D,0.15,-0.2,0.02,1.47,,,,,,
75,0,2D,0.15,-0.15,0.02,1.68,,,,,,
74,0,2D,0.15,-0.1,0.02,1.59,,,,,,
73,0,2D,0.15,-0.05,0.02,1.05,,,,,,
72,0,2D,0.15,0,0.02,1.3,,,,,,
71,0,2D,0.15,0.05,0.02,0.99,,,,,,
70,0,2D,0.15,0.1,0.02,1.69,,,,,,
108,0,2D,0.15,0.15,0.02,1.6,,,,,,
117,0,2D,0.15,0.2,0.02,1.45,,,,,,
126,0,2D,0.15,0.25,0.02,1.18,,,,,,
130,0,2D,0.15,0.3,0.02,1.08,,,,,,
87,0,2D,0.2,-0.3,0.02,1.13,,,,,,
86,0,2D,0.2,-0.25,0.02,1.24,,,,,,
85,0,2D,0.2,-0.2,0.02,1.39,,,,,,
84,0,2D,0.2,-0.15,0.02,1.7,,,,,,
83,0,2D,0.2,-0.1,0.02,1.52,,,,,,
82,0,2D,0.2,-0.05,0.02,1.43,,,,,,
81,0,2D,0.2,0,0.02,1.34,,,,,,
80,0,2D,0.2,0.05,0.02,1.19,,,,,,
79,0,2D,0.2,0.1,0.02,1.58,,,,,,
109,0,2D,0.2,0.15,0.02,1.64,,,,,,
118,0,2D,0.2,0.2,0.02,1.43,,,,,,
127,0,2D,0.2,0.25,0.02,1.49,,,,,,
131,0,2D,0.2,0.3,0.02,1.3,,,,,,
96,0,2D,0.25,-0.3,0.02,1.34,,,,,,
95,0,2D,0.25,-0.25,0.02,1.49,,,,,,
94,0,2D,0.25,-0.2,0.02,1.58,,,,,,
93,0,2D,0.25,-0.15,0.02,1.55,,,,,,
92,0,2D,0.25,-0.1,0.02,1.39,,,,,,
91,0,2D,0.25,-0.05,0.02,1.15,,,,,,
90,0,2D,0.25,0,0.02,1.17,,,,,,
89,0,2D,0.25,0.05,0.02,1.11,,,,,,
88,0,2D,0.25,0.1,0.02,1.22,,,,,,
110,0,2D,0.25,0.15,0.02,1.52,,,,,,
119,0,2D,0.25,0.2,0.02,1.48,,,,,,
128,0,2D,0.25,0.25,0.02,1.55,,,,,,
132,0,2D,0.25,0.3,0.02,1.54,,,,,,
99,0,2D,0.3,-0.25,0.02,1.57,,,,,,
98,0,2D,0.3,-0.2,0.02,1.56,,,,,,
97,0,2D,0.3,-0.15,0.02,1.61,,,,,,
111,0,2D,0.3,0.15,0.02,1.55,,,,,,
120,0,2D,0.3,0.2,0.02,1.53,,,,,,
129,0,2D,0.3,0.25,0.02,1.64,,,,,,
63,22.5,0D,-0.3,-0.25,0.02,3.41,,,,,,
54,22.5,0D,-0.3,-0.2,0.02,2.76,,,,,,
45,22.5,0D,-0.3,-0.15,0.02,1.65,,,,,,
