No.,WD (deg.),CB,x (m),y (m),z (m),Vs (m/s),,,,,,
119,22.5,2D,0.25,0.2,0.02,1.77,,,,,,
128,22.5,2D,0.25,0.25,0.02,1.8,,,,,,
132,22.5,2D,0.25,0.3,0.02,1.66,,,,,,
99,22.5,2D,0.3,-0.25,0.02,2.21,,,,,,
98,22.5,2D,0.3,-0.2,0.02,2.29,,,,,,
97,22.5,2D,0.3,-0.15,0.02,2.29,,,,,,
111,22.5,2D,0.3,0.15,0.02,1.86,,,,,,
120,22.5,2D,0.3,0.2,0.02,2.29,,,,,,
129,22.5,2D,0.3,0.25,0.02,2.94,,,,,,
63,45,0D,-0.3,-0.25,0.02,3.19,,,,,,
54,45,0D,-0.3,-0.2,0.02,1.54,,,,,,
45,45,0D,-0.3,-0.15,0.02,1.06,,,,,,
31,45,0D,-0.3,0.15,0.02,2.73,,,,,,
32,45,0D,-0.3,0.2,0.02,1.54,,,,,,
33,45,0D,-0.3,0.25,0.02,1.5,,,,,,
66,45,0D,-0.25,-0.3,0.02,2.9,,,,,,
62,45,0D,-0.25,-0.25,0.02,2.78,,,,,,
53,45,0D,-0.25,-0.2,0.02,1.59,,,,,,
44,45,0D,-0.25,-0.15,0.02,1.33,,,,,,
22,45,0D,-0.25,-0.1,0.02,1.24,,,,,,
23,45,0D,-0.25,-0.05,0.02,1.01,,,,,,
24,45,0D,-0.25,0,0.02,1.03,,,,,,
25,45,0D,-0.25,0.05,0.02,0.83,,,,,,
26,45,0D,-0.25,0.1,0.02,3.32,,,,,,
27,45,0D,-0.25,0.15,0.02,2.23,,,,,,
28,45,0D,-0.25,0.2,0.02,1.46,,,,,,
29,45,0D,-0.25,0.25,0.02,1.48,,,,,,
30,45,0D,-0.25,0.3,0.02,1.24,,,,,,
65,45,0D,-0.2,-0.3,0.02,3.02,,,,,,
61,45,0D,-0.2,-0.25,0.02,2.15,,,,,,
52,45,0D,-0.2,-0.2,0.02,1.54,,,,,,
43,45,0D,-0.2,-0.15,0.02,1.48,,,,,,
13,45,0D,-0.2,-0.1,0.02,1.51,,,,,,
14,45,0D,-0.2,-0.05,0.02,1.35,,,,,,
15,45,0D,-0.2,0,0.02,1.23,,,,,,
16,45,0D,-0.2,0.05,0.02,1.78,,,,,,
17,45,0D,-0.2,0.1,0.02,3.15,,,,,,
18,45,0D,-0.2,0.15,0.02,2.06,,,,,,
19,45,0D,-0.2,0.2,0.02,1.52,,,,,,
20,45,0D,-0.2,0.25,0.02,1.51,,,,,,
21,45,0D,-0.2,0.3,0.02,1.49,,,,,,
64,45,0D,-0.15,-0.3,0.02,2.18,,,,,,
60,45,0D,-0.15,-0.25,0.02,1.71,,,,,,
51,45,0D,-0.15,-0.2,0.02,1.6,,,,,,
42,45,0D,-0.15,-0.15,0.02,1.34,,,,,,
4,45,0D,-0.15,-0.1,0.02,1.45,,,,,,
5,45,0D,-0.15,-0.05,0.02,1.45,,,,,,
6,45,0D,-0.15,0,0.02,1.84,,,,,,
7,45,0D,-0.15,0.05,0.02,2.73,,,,,,
8,45,0D,-0.15,0.1,0.02,2.98,,,,,,
9,45,0D,-0.15,0.15,0.02,2.47,,,,,,
10,45,0D,-0.15,0.2,0.02,2.16,,,,,,
11,45,0D,-0.15,0.25,0.02,2.45,,,,,,
12,45,0D,-0.15,0.3,0.02,2.86,,,,,,
59,45,0D,-0.1,-0.25,0.02,1.53,,,,,,
50,45,0D,-0.1,-0.2,0.02,1.37,,,,,,
41,45,0D,-0.1,-0.15,0.02,1.09,,,,,,
103,45,0D,-0.1,0.15,0.02,3.11,,,,,,
112,45,0D,-0.1,0.2,0.02,3.17,,,,,,
121,45,0D,-0.1,0.25,0.02,3.41,,,,,,
58,45,0D,-0.05,-0.25,0.02,1.46,,,,,,
49,45,0D,-0.05,-0.2,0.02,1.48,,,,,,
40,45,0D,-0.05,-0.15,0.02,1.17,,,,,,
104,45,0D,-0.05,0.15,0.02,2.4,,,,,,
113,45,0D,-0.05,0.2,0.02,1.43,,,,,,
122,45,0D,-0.05,0.25,0.02,0.79,,,,,,
57,45,0D,0,-0.25,0.02,1.52,,,,,,
48,45,0D,0,-0.2,0.02,1.38,,,,,,
39,45,0D,0,-0.15,0.02,1.34,,,,,,
105,45,0D,0,0.15,0.02,1.66,,,,,,
114,45,0D,0,0.2,0.02,1.34,,,,,,
123,45,0D,0,0.25,0.02,1.12,,,,,,
56,45,0D,0.05,-0.25,0.02,1.86,,,,,,
47,45,0D,0.05,-0.2,0.02,1.49,,,,,,
38,45,0D,0.05,-0.15,0.02,1.47,,,,,,
106,45,0D,0.05,0.15,0.02,1.51,,,,,,
115,45,0D,0.05,0.2,0.02,1.55,,,,,,
124,45,0D,0.05,0.25,0.02,1.23,,,,,,
69,45,0D,0.1,-0.25,0.02,2.04,,,,,,
68,45,0D,0.1,-0.2,0.02,1.76,,,,,,
67,45,0D,0.1,-0.15,0.02,1.63,,,,,,
107,45,0D,0.1,0.15,0.02,1.44,,,,,,
116,45,0D,0.1,0.2,0.02,1.47,,,,,,
125,45,0D,0.1,0.25,0.02,1.34,,,,,,
78,45,0D,0.15,-0.3,0.02,2.55,,,,,,
77,45,0D,0.15,-0.25,0.02,2.09,,,,,,
76,45,0D,0.15,-0.2,0.02,1.86,,,,,,
75,45,0D,0.15,-0.15,0.02,1.66,,,,,,
74,45,0D,0.15,-0.1,0.02,1.51,,,,,,
73,45,0D,0.15,-0.05,0.02,1.47,,,,,,
72,45,0D,0.15,0,0.02,1.39,,,,,,
71,45,0D,0.15,0.05,0.02,1.24,,,,,,
70,45,0D,0.15,0.1,0.02,1.33,,,,,,
108,45,0D,0.15,0.15,0.02,1.48,,,,,,
117,45,0D,0.15,0.2,0.02,1.56,,,,,,
126,45,0D,0.15,0.25,0.02,1.32,,,,,,
130,45,0D,0.15,0.3,0.02,1.15,,,,,,
87,45,0D,0.2,-0.3,0.02,2.15,,,,,,
86,45,0D,0.2,-0.25,0.02,1.94,,,,,,
85,45,0D,0.2,-0.2,0.02,1.84,,,,,,
84,45,0D,0.2,-0.15,0.02,1.83,,,,,,
83,45,0D,0.2,-0.1,0.02,1.69,,,,,,
82,45,0D,0.2,-0.05,0.02,1.71,,,,,,
81,45,0D,0.2,0,0.02,1.4,,,,,,
80,45,0D,0.2,0.05,0.02,1.27,,,,,,
79,45,0D,0.2,0.1,0.02,1.37,,,,,,
109,45,0D,0.2,0.15,0.02,1.6,,,,,,
118,45,0D,0.2,0.2,0.02,1.68,,,,,,
127,45,0D,0.2,0.25,0.02,1.85,,,,,,
131,45,0D,0.2,0.3,0.02,1.68,,,,,,
96,45,0D,0.25,-0.3,0.02,1.66,,,,,,
95,45,0D,0.25,-0.25,0.02,1.82,,,,,,
94,45,0D,0.25,-0.2,0.02,1.94,,,,,,
93,45,0D,0.25,-0.15,0.02,2.09,,,,,,
92,45,0D,0.25,-0.1,0.02,2.07,,,,,,
91,45,0D,0.25,-0.05,0.02,1.79,,,,,,
90,45,0D,0.25,0,0.02,1.44,,,,,,
89,45,0D,0.25,0.05,0.02,1.41,,,,,,
88,45,0D,0.25,0.1,0.02,1.44,,,,,,
110,45,0D,0.25,0.15,0.02,1.81,,,,,,
119,45,0D,0.25,0.2,0.02,2.18,,,,,,
128,45,0D,0.25,0.25,0.02,2.79,,,,,,
132,45,0D,0.25,0.3,0.02,3.22,,,,,,
99,45,0D,0.3,-0.25,0.02,1.73,,,,,,
98,45,0D,0.3,-0.2,0.02,2.21,,,,,,
97,45,0D,0.3,-0.15,0.02,2.7,,,,,,
111,45,0D,0.3,0.15,0.02,2.26,,,,,,
120,45,0D,0.3,0.2,0.02,3.27,,,,,,
129,45,0D,0.3,0.25,0.02,3.59,,,,,,
63,45,1D,-0.3,-0.25,0.02,2.37,,,,,,
54,45,1D,-0.3,-0.2,0.02,1.35,,,,,,
45,45,1D,-0.3,-0.15,0.02,1.68,,,,,,
31,45,1D,-0.3,0.15,0.02,2.66,,,,,,
32,45,1D,-0.3,0.2,0.02,1.49,,,,,,
33,45,1D,-0.3,0.25,0.02,1.54,,,,,,
66,45,1D,-0.25,-0.3,0.02,3.3,,,,,,
62,45,1D,-0.25,-0.25,0.02,1.91,,,,,,
53,45,1D,-0.25,-0.2,0.02,1.31,,,,,,
44,45,1D,-0.25,-0.15,0.02,1.64,,,,,,
22,45,1D,-0.25,-0.1,0.02,1.31,,,,,,
23,45,1D,-0.25,-0.05,0.02,0.92,,,,,,
24,45,1D,-0.25,0,0.02,1.01,,,,,,
25,45,1D,-0.25,0.05,0.02,0.88,,,,,,
26,45,1D,-0.25,0.1,0.02,3.53,,,,,,
27,45,1D,-0.25,0.15,0.02,2.21,,,,,,
28,45,1D,-0.25,0.2,0.02,1.48,,,,,,
29,45,1D,-0.25,0.25,0.02,1.48,,,,,,
30,45,1D,-0.25,0.3,0.02,1.23,,,,,,
65,45,1D,-0.2,-0.3,0.02,2.76,,,,,,
61,45,1D,-0.2,-0.25,0.02,1.83,,,,,,
52,45,1D,-0.2,-0.2,0.02,1.62,,,,,,
43,45,1D,-0.2,-0.15,0.02,1.91,,,,,,
13,45,1D,-0.2,-0.1,0.02,1.94,,,,,,
14,45,1D,-0.2,-0.05,0.02,1.8,,,,,,
15,45,1D,-0.2,0,0.02,1.67,,,,,,
16,45,1D,-0.2,0.05,0.02,2.27,,,,,,
17,45,1D,-0.2,0.1,0.02,2.94,,,,,,
18,45,1D,-0.2,0.15,0.02,1.87,,,,,,
19,45,1D,-0.2,0.2,0.02,1.46,,,,,,
20,45,1D,-0.2,0.25,0.02,1.51,,,,,,
21,45,1D,-0.2,0.3,0.02,1.57,,,,,,
64,45,1D,-0.15,-0.3,0.02,2.21,,,,,,
60,45,1D,-0.15,-0.25,0.02,1.94,,,,,,
51,45,1D,-0.15,-0.2,0.02,2.04,,,,,,
42,45,1D,-0.15,-0.15,0.02,2.35,,,,,,
4,45,1D,-0.15,-0.1,0.02,2.7,,,,,,
5,45,1D,-0.15,-0.05,0.02,3.06,,,,,,
6,45,1D,-0.15,0,0.02,3.04,,,,,,
7,45,1D,-0.15,0.05,0.02,2.8,,,,,,
8,45,1D,-0.15,0.1,0.02,2.12,,,,,,
9,45,1D,-0.15,0.15,0.02,1.89,,,,,,
10,45,1D,-0.15,0.2,0.02,1.94,,,,,,
11,45,1D,-0.15,0.25,0.02,2.35,,,,,,
12,45,1D,-0.15,0.3,0.02,2.86,,,,,,
59,45,1D,-0.1,-0.25,0.02,1.9,,,,,,
50,45,1D,-0.1,-0.2,0.02,2.62,,,,,,
41,45,1D,-0.1,-0.15,0.02,2.95,,,,,,
103,45,1D,-0.1,0.15,0.02,2.28,,,,,,
112,45,1D,-0.1,0.2,0.02,2.97,,,,,,
121,45,1D,-0.1,0.25,0.02,3.62,,,,,,
58,45,1D,-0.05,-0.25,0.02,2.1,,,,,,
49,45,1D,-0.05,-0.2,0.02,1.78,,,,,,
40,45,1D,-0.05,-0.15,0.02,0.52,,,,,,
104,45,1D,-0.05,0.15,0.02,2.73,,,,,,
113,45,1D,-0.05,0.2,0.02,1.92,,,,,,
122,45,1D,-0.05,0.25,0.02,0.76,,,,,,
57,45,1D,0,-0.25,0.02,2.39,,,,,,
48,45,1D,0,-0.2,0.02,1.48,,,,,,
39,45,1D,0,-0.15,0.02,0.8,,,,,,
105,45,1D,0,0.15,0.02,3.07,,,,,,
114,45,1D,0,0.2,0.02,1.49,,,,,,
123,45,1D,0,0.25,0.02,1.03,,,,,,
56,45,1D,0.05,-0.25,0.02,2.56,,,,,,
47,45,1D,0.05,-0.2,0.02,1.7,,,,,,
38,45,1D,0.05,-0.15,0.02,1.03,,,,,,
106,45,1D,0.05,0.15,0.02,2.99,,,,,,
115,45,1D,0.05,0.2,0.02,1.71,,,,,,
124,45,1D,0.05,0.25,0.02,1.07,,,,,,
69,45,1D,0.1,-0.25,0.02,2.17,,,,,,
68,45,1D,0.1,-0.2,0.02,1.6,,,,,,
67,45,1D,0.1,-0.15,0.02,1.36,,,,,,
107,45,1D,0.1,0.15,0.02,2.78,,,,,,
116,45,1D,0.1,0.2,0.02,1.75,,,,,,
125,45,1D,0.1,0.25,0.02,1.39,,,,,,
78,45,1D,0.15,-0.3,0.02,2.8,,,,,,
77,45,1D,0.15,-0.25,0.02,1.95,,,,,,
76,45,1D,0.15,-0.2,0.02,1.47,,,,,,
75,45,1D,0.15,-0.15,0.02,1.2,,,,,,
74,45,1D,0.15,-0.1,0.02,1.2,,,,,,
73,45,1D,0.15,-0.05,0.02,1.12,,,,,,
72,45,1D,0.15,0,0.02,0.88,,,,,,
71,45,1D,0.15,0.05,0.02,0.48,,,,,,
70,45,1D,0.15,0.1,0.02,2.66,,,,,,
108,45,1D,0.15,0.15,0.02,2.36,,,,,,
117,45,1D,0.15,0.2,0.02,1.73,,,,,,
126,45,1D,0.15,0.25,0.02,1.51,,,,,,
130,45,1D,0.15,0.3,0.02,1.8,,,,,,
87,45,1D,0.2,-0.3,0.02,2.4,,,,,,
86,45,1D,0.2,-0.25,0.02,1.77,,,,,,
85,45,1D,0.2,-0.2,0.02,1.48,,,,,,
84,45,1D,0.2,-0.15,0.02,1.52,,,,,,
83,45,1D,0.2,-0.1,0.02,1.63,,,,,,
82,45,1D,0.2,-0.05,0.02,1.86,,,,,,
81,45,1D,0.2,0,0.02,1.49,,,,,,
80,45,1D,0.2,0.05,0.02,1.34,,,,,,
79,45,1D,0.2,0.1,0.02,2.63,,,,,,
109,45,1D,0.2,0.15,0.02,2.03,,,,,,
118,45,1D,0.2,0.2,0.02,1.57,,,,,,
127,45,1D,0.2,0.25,0.02,1.53,,,,,,
131,45,1D,0.2,0.3,0.02,1.56,,,,,,
96,45,1D,0.25,-0.3,0.02,1.83,,,,,,
95,45,1D,0.25,-0.25,0.02,1.84,,,,,,
94,45,1D,0.25,-0.2,0.02,1.81,,,,,,
93,45,1D,0.25,-0.15,0.02,1.92,,,,,,
92,45,1D,0.25,-0.1,0.02,2.18,,,,,,
91,45,1D,0.25,-0.05,0.02,2.42,,,,,,
90,45,1D,0.25,0,0.02,2.36,,,,,,
89,45,1D,0.25,0.05,0.02,2.19,,,,,,
88,45,1D,0.25,0.1,0.02,1.96,,,,,,
110,45,1D,0.25,0.15,0.02,1.96,,,,,,
119,45,1D,0.25,0.2,0.02,1.78,,,,,,
128,45,1D,0.25,0.25,0.02,2,,,,,,
132,45,1D,0.25,0.3,0.02,2.57,,,,,,
99,45,1D,0.3,-0.25,0.02,1.85,,,,,,
98,45,1D,0.3,-0.2,0.02,2.31,,,,,,
97,45,1D,0.3,-0.15,0.02,2.82,,,,,,
111,45,1D,0.3,0.15,0.02,2.27,,,,,,
120,45,1D,0.3,0.2,0.02,2.86,,,,,,
129,45,1D,0.3,0.25,0.02,3.59,,,,,,
63,45,2D,-0.3,-0.25,0.02,2.08,,,,,,
54,45,2D,-0.3,-0.2,0.02,1.26,,,,,,
45,45,2D,-0.3,-0.15,0.02,1.54,,,,,,
31,45,2D,-0.3,0.15,0.02,2.48,,,,,,
32,45,2D,-0.3,0.2,0.02,1.42,,,,,,
33,45,2D,-0.3,0.25,0.02,1.25,,,,,,
66,45,2D,-0.25,-0.3,0.02,3.2,,,,,,
62,45,2D,-0.25,-0.25,0.02,1.97,,,,,,
53,45,2D,-0.25,-0.2,0.02,1.39,,,,,,
44,45,2D,-0.25,-0.15,0.02,1.55,,,,,,
22,45,2D,-0.25,-0.1,0.02,1.52,,,,,,
23,45,2D,-0.25,-0.05,0.02,1.2,,,,,,
24,45,2D,-0.25,0,0.02,1.19,,,,,,
25,45,2D,-0.25,0.05,0.02,1.09,,,,,,
26,45,2D,-0.25,0.1,0.02,3.14,,,,,,
27,45,2D,-0.25,0.15,0.02,1.89,,,,,,
28,45,2D,-0.25,0.2,0.02,1.4,,,,,,
29,45,2D,-0.25,0.25,0.02,1.39,,,,,,
30,45,2D,-0.25,0.3,0.02,1.17,,,,,,
65,45,2D,-0.2,-0.3,0.02,2.56,,,,,,
61,45,2D,-0.2,-0.25,0.02,1.98,,,,,,
52,45,2D,-0.2,-0.2,0.02,1.79,,,,,,
43,45,2D,-0.2,-0.15,0.02,1.96,,,,,,
13,45,2D,-0.2,-0.1,0.02,2.19,,,,,,
14,45,2D,-0.2,-0.05,0.02,2.26,,,,,,
15,45,2D,-0.2,0,0.02,2.16,,,,,,
16,45,2D,-0.2,0.05,0.02,2.35,,,,,,
17,45,2D,-0.2,0.1,0.02,2.42,,,,,,
18,45,2D,-0.2,0.15,0.02,1.65,,,,,,
19,45,2D,-0.2,0.2,0.02,1.32,,,,,,
20,45,2D,-0.2,0.25,0.02,1.4,,,,,,
21,45,2D,-0.2,0.3,0.02,1.37,,,,,,
64,45,2D,-0.15,-0.3,0.02,2.23,,,,,,
60,45,2D,-0.15,-0.25,0.02,2.06,,,,,,
51,45,2D,-0.15,-0.2,0.02,2.19,,,,,,
42,45,2D,-0.15,-0.15,0.02,2.56,,,,,,
4,45,2D,-0.15,-0.1,0.02,2.79,,,,,,
5,45,2D,-0.15,-0.05,0.02,3.03,,,,,,
6,45,2D,-0.15,0,0.02,2.81,,,,,,
7,45,2D,-0.15,0.05,0.02,2.52,,,,,,
8,45,2D,-0.15,0.1,0.02,1.8,,,,,,
9,45,2D,-0.15,0.15,0.02,1.64,,,,,,
10,45,2D,-0.15,0.2,0.02,1.76,,,,,,
11,45,2D,-0.15,0.25,0.02,2.2,,,,,,
12,45,2D,-0.15,0.3,0.02,2.71,,,,,,
59,45,2D,-0.1,-0.25,0.02,1.97,,,,,,
50,45,2D,-0.1,-0.2,0.02,2.66,,,,,,
41,45,2D,-0.1,-0.15,0.02,3.48,,,,,,
103,45,2D,-0.1,0.15,0.02,2.02,,,,,,
112,45,2D,-0.1,0.2,0.02,2.67,,,,,,
121,45,2D,-0.1,0.25,0.02,3.39,,,,,,
58,45,2D,-0.05,-0.25,0.02,2.55,,,,,,
49,45,2D,-0.05,-0.2,0.02,3.18,,,,,,
40,45,2D,-0.05,-0.15,0.02,1.55,,,,,,
104,45,2D,-0.05,0.15,0.02,2.54,,,,,,
113,45,2D,-0.05,0.2,0.02,2.22,,,,,,
122,45,2D,-0.05,0.25,0.02,1.07,,,,,,
57,45,2D,0,-0.25,0.02,3.3,,,,,,
48,45,2D,0,-0.2,0.02,3.22,,,,,,
39,45,2D,0,-0.15,0.02,1.33,,,,,,
105,45,2D,0,0.15,0.02,2.99,,,,,,
114,45,2D,0,0.2,0.02,2.14,,,,,,
123,45,2D,0,0.25,0.02,1.27,,,,,,
56,45,2D,0.05,-0.25,0.02,3.71,,,,,,
47,45,2D,0.05,-0.2,0.02,2.94,,,,,,
38,45,2D,0.05,-0.15,0.02,1.55,,,,,,
106,45,2D,0.05,0.15,0.02,3.07,,,,,,
115,45,2D,0.05,0.2,0.02,2.27,,,,,,
124,45,2D,0.05,0.25,0.02,1.41,,,,,,
69,45,2D,0.1,-0.25,0.02,3,,,,,,
68,45,2D,0.1,-0.2,0.02,2.42,,,,,,
67,45,2D,0.1,-0.15,0.02,2.06,,,,,,
107,45,2D,0.1,0.15,0.02,3.07,,,,,,
116,45,2D,0.1,0.2,0.02,2.19,,,,,,
125,45,2D,0.1,0.25,0.02,1.74,,,,,,
78,45,2D,0.15,-0.3,0.02,2.79,,,,,,
77,45,2D,0.15,-0.25,0.02,2.44,,,,,,
76,45,2D,0.15,-0.2,0.02,1.87,,,,,,
75,45,2D,0.15,-0.15,0.02,1.78,,,,,,
74,45,2D,0.15,-0.1,0.02,2,,,,,,
73,45,2D,0.15,-0.05,0.02,1.59,,,,,,
72,45,2D,0.15,0,0.02,1.34,,,,,,
71,45,2D,0.15,0.05,0.02,1.58,,,,,,
70,45,2D,0.15,0.1,0.02,3.42,,,,,,
108,45,2D,0.15,0.15,0.02,2.77,,,,,,
117,45,2D,0.15,0.2,0.02,2.13,,,,,,
126,45,2D,0.15,0.25,0.02,1.75,,,,,,
130,45,2D,0.15,0.3,0.02,1.84,,,,,,
87,45,2D,0.2,-0.3,0.02,2.81,,,,,,
86,45,2D,0.2,-0.25,0.02,2.15,,,,,,
85,45,2D,0.2,-0.2,0.02,1.61,,,,,,
84,45,2D,0.2,-0.15,0.02,1.96,,,,,,
83,45,2D,0.2,-0.1,0.02,2.63,,,,,,
82,45,2D,0.2,-0.05,0.02,3.18,,,,,,
81,45,2D,0.2,0,0.02,3.27,,,,,,
80,45,2D,0.2,0.05,0.02,3.26,,,,,,
79,45,2D,0.2,0.1,0.02,2.69,,,,,,
109,45,2D,0.2,0.15,0.02,2.44,,,,,,
118,45,2D,0.2,0.2,0.02,2.07,,,,,,
127,45,2D,0.2,0.25,0.02,1.7,,,,,,
131,45,2D,0.2,0.3,0.02,1.46,,,,,,
96,45,2D,0.25,-0.3,0.02,2.45,,,,,,
95,45,2D,0.25,-0.25,0.02,2.3,,,,,,
94,45,2D,0.25,-0.2,0.02,2.2,,,,,,
93,45,2D,0.25,-0.15,0.02,2.62,,,,,,
92,45,2D,0.25,-0.1,0.02,3.14,,,,,,
91,45,2D,0.25,-0.05,0.02,3.5,,,,,,
90,45,2D,0.25,0,0.02,3.27,,,,,,
89,45,2D,0.25,0.05,0.02,2.62,,,,,,
88,45,2D,0.25,0.1,0.02,2,,,,,,
110,45,2D,0.25,0.15,0.02,2.29,,,,,,
119,45,2D,0.25,0.2,0.02,2.13,,,,,,
128,45,2D,0.25,0.25,0.02,1.9,,,,,,
132,45,2D,0.25,0.3,0.02,2.08,,,,,,
99,45,2D,0.3,-0.25,0.02,2.56,,,,,,
98,45,2D,0.3,-0.2,0.02,2.91,,,,,,
97,45,2D,0.3,-0.15,0.02,3.09,,,,,,
111,45,2D,0.3,0.15,0.02,2.51,,,,,,
120,45,2D,0.3,0.2,0.02,2.75,,,,,,
129,45,2D,0.3,0.25,0.02,3.35,,,,,,
